dataset,model,fold,train_rows,test_rows,train_start,test_start,test_end,elapsed_s,accuracy,f1_macro,auc_roc,sharpe_proxy,max_drawdown
dataset_basic_daily,LGBM,final,2607,261,2014-01-02,2024-01-01,2024-12-30,0.61,0.6666666666666666,0.6666666666666666,0.7196300223871804,0.4266085376054004,-0.0242934627841879
dataset_basic_daily,MLP,1,1303,261,2014-01-02,2019-01-01,2019-12-31,2.64,0.5287356321839081,0.5005522970891609,0.6195626477541372,-0.1661122398284733,-0.128924956757109
dataset_basic_daily,MLP,2,1564,262,2014-01-02,2020-01-01,2020-12-31,3.07,0.583969465648855,0.5788091972331608,0.6112997658079624,-0.1237646919993111,-0.0867149225222989
dataset_basic_daily,MLP,3,1826,261,2014-01-02,2021-01-01,2021-12-31,3.59,0.4865900383141762,0.3629044010492567,0.5923176623070578,-0.4942386186302508,-0.0866865868586307
dataset_basic_daily,MLP,4,2087,260,2014-01-02,2022-01-03,2022-12-30,4.42,0.6230769230769231,0.6198376700883266,0.6544592592592593,-0.0588705732200932,-0.1323758762725479
dataset_basic_daily,MLP,5,2347,260,2014-01-02,2023-01-02,2023-12-29,5.46,0.5346153846153846,0.4112913789554445,0.6287573964497042,0.3948462838659348,-0.0843441330624319
dataset_basic_daily,MLP,final,2607,261,2014-01-02,2024-01-01,2024-12-30,5.86,0.6436781609195402,0.638907484268309,0.6544715447154471,-0.1656991038942572,-0.0549301112370387
dataset_90day_lookback,LR,1,1213,261,2014-05-08,2019-01-01,2019-12-31,170.63,0.5134099616858238,0.5092604930046636,0.5277777777777778,-0.1885681242279556,-0.0738667909083607
dataset_90day_lookback,LGBM,1,1213,261,2014-05-08,2019-01-01,2019-12-31,38.91,0.5095785440613027,0.4884860362567369,0.5102836879432624,1.0405589729528857,-0.0394178578453617
dataset_90day_lookback,LR,2,1474,262,2014-05-08,2020-01-01,2020-12-31,233.16,0.5687022900763359,0.5124417436556165,0.5993559718969554,0.2688319224306243,-0.0694064178566638
dataset_90day_lookback,LR,3,1736,261,2014-05-08,2021-01-01,2021-12-31,206.17,0.524904214559387,0.5171858216970999,0.531106398020502,0.2299134396516225,-0.0251406506080024
dataset_90day_lookback,LR,4,1997,260,2014-05-08,2022-01-03,2022-12-30,237.56,0.4807692307692308,0.4186335403726708,0.5648888888888889,-0.7234617466766329,-0.218902929890585
dataset_90day_lookback,LR,5,2257,260,2014-05-08,2023-01-02,2023-12-29,267.43,0.5115384615384615,0.4830852079713207,0.5074556213017751,-0.0084059616799055,-0.039440979162234
dataset_90day_lookback,LR,final,2517,261,2014-05-08,2024-01-01,2024-12-30,299.93,0.5363984674329502,0.5359625020203653,0.5554377282903264,-0.1771959236516458,-0.0579214299963991
dataset_90day_lookback,LGBM,2,1474,262,2014-05-08,2020-01-01,2020-12-31,41.21,0.4809160305343511,0.4757532956685499,0.492271662763466,-1.4981582824407529,-0.1163940476286601
dataset_90day_lookback,LGBM,3,1736,261,2014-05-08,2021-01-01,2021-12-31,43.82,0.5478927203065134,0.5430021367521367,0.5800636267232238,-0.4633285590804448,-0.0743109947715077
dataset_90day_lookback,LGBM,4,1997,260,2014-05-08,2022-01-03,2022-12-30,44.91,0.6076923076923076,0.6065515399679544,0.6248888888888887,-0.3530358877644698,-0.1962985102362712
dataset_90day_lookback,LGBM,5,2257,260,2014-05-08,2023-01-02,2023-12-29,45.85,0.5423076923076923,0.5386977978560034,0.5654437869822486,0.8092517882866727,-0.0512004101225994
dataset_90day_lookback,LGBM,final,2517,261,2014-05-08,2024-01-01,2024-12-30,47.01,0.5938697318007663,0.5887931034482758,0.6433957817839049,0.3316610574869729,-0.0272050160827008
dataset_90day_lookback,RF,1,1213,261,2014-05-08,2019-01-01,2019-12-31,2.59,0.5325670498084292,0.5091564927857936,0.5467789598108747,0.4158209327324549,-0.049740401136109
dataset_90day_lookback,RF,2,1474,262,2014-05-08,2020-01-01,2020-12-31,0.16,0.5381679389312977,0.5152228763666947,0.5548887587822013,0.9064225481020788,-0.0515591216979232
dataset_90day_lookback,RF,3,1736,261,2014-05-08,2021-01-01,2021-12-31,0.17,0.4980842911877394,0.4938041305796136,0.5058029928125369,1.6551169991695915,-0.0135199887880462
dataset_90day_lookback,RF,4,1997,260,2014-05-08,2022-01-03,2022-12-30,0.17,0.5,0.495703031749821,0.480237037037037,-1.1040533964101384,-0.0943871444985174
