date,USA_cpi_value,USA_cpi_days_since_update,UK_cpi_value,UK_cpi_days_since_update,USA_cpi_yoy,USA_cpi_yoy_days_since_update,UK_cpi_yoy,UK_cpi_yoy_days_since_update,UK_cpi_yoy_log
2017-12-29,247.592,16.0,104.2,17,2.172493864295566,16.0,2.964426877470361,17.0,1.0866837178028377
2018-01-01,247.592,19.0,104.2,20,2.172493864295566,19.0,2.964426877470361,20.0,1.0866837178028377
2018-01-02,247.592,20.0,104.2,21,2.172493864295566,20.0,2.964426877470361,21.0,1.0866837178028377
2018-01-03,247.592,21.0,104.2,22,2.172493864295566,21.0,2.964426877470361,22.0,1.0866837178028377
2018-01-04,247.592,22.0,104.2,23,2.172493864295566,22.0,2.964426877470361,23.0,1.0866837178028377
2018-01-05,247.592,23.0,104.2,24,2.172493864295566,23.0,2.964426877470361,24.0,1.0866837178028377
2018-01-08,237.808,1.0,104.2,27,2.172493864295566,26.0,2.964426877470361,27.0,1.0866837178028377
2018-01-09,237.808,2.0,104.2,28,2.172493864295566,27.0,2.964426877470361,28.0,1.0866837178028377
2018-01-10,237.808,3.0,104.2,29,2.172493864295566,28.0,2.964426877470361,29.0,1.0866837178028377
2018-01-11,237.808,4.0,104.6,0,2.172493864295566,29.0,3.155818540433919,0.0,1.1492479046366875
2018-01-12,247.963,0.0,104.6,1,2.129930719552253,0.0,3.155818540433919,1.0,1.1492479046366875
2018-01-15,247.963,3.0,104.6,4,2.129930719552253,3.0,3.155818540433919,4.0,1.1492479046366875
2018-01-16,247.963,4.0,104.6,5,2.129930719552253,4.0,3.155818540433919,5.0,1.1492479046366875
2018-01-17,247.963,5.0,104.6,6,2.129930719552253,5.0,3.155818540433919,6.0,1.1492479046366875
2018-01-18,247.963,6.0,104.6,7,2.129930719552253,6.0,3.155818540433919,7.0,1.1492479046366875
2018-01-19,247.963,7.0,104.6,8,2.129930719552253,7.0,3.155818540433919,8.0,1.1492479046366875
2018-01-22,247.963,10.0,104.6,11,2.129930719552253,10.0,3.155818540433919,11.0,1.1492479046366875
2018-01-23,247.963,11.0,104.6,12,2.129930719552253,11.0,3.155818540433919,12.0,1.1492479046366875
2018-01-24,247.963,12.0,104.6,13,2.129930719552253,12.0,3.155818540433919,13.0,1.1492479046366875
2018-01-25,247.963,13.0,104.6,14,2.129930719552253,13.0,3.155818540433919,14.0,1.1492479046366875
2018-01-26,247.963,14.0,104.6,15,2.129930719552253,14.0,3.155818540433919,15.0,1.1492479046366875
2018-01-29,247.963,17.0,104.6,18,2.129930719552253,17.0,3.155818540433919,18.0,1.1492479046366875
2018-01-30,247.963,18.0,104.6,19,2.129930719552253,18.0,3.155818540433919,19.0,1.1492479046366875
2018-01-31,247.963,19.0,104.6,20,2.129930719552253,19.0,3.155818540433919,20.0,1.1492479046366875
2018-02-01,247.963,20.0,104.6,21,2.129930719552253,20.0,3.155818540433919,21.0,1.1492479046366875
2018-02-02,247.963,21.0,104.6,22,2.129930719552253,21.0,3.155818540433919,22.0,1.1492479046366875
2018-02-05,247.963,24.0,104.6,25,2.129930719552253,24.0,3.155818540433919,25.0,1.1492479046366875
