date,USA_central_bank_rate_value,USA_central_bank_rate_days_since_update,UK_central_bank_rate_value,UK_central_bank_rate_days_since_update,UK_central_bank_rate_value_sqrt,USA_central_bank_rate_value_sqrt
2021-09-16,0.08,0.0,0.0504,1.0,0.22449944320643647,0.282842712474619
2021-09-17,0.08,0.0,0.0504,2.0,0.22449944320643647,0.282842712474619
2021-09-20,0.08,0.0,0.0504,5.0,0.22449944320643647,0.282842712474619
2021-09-21,0.08,0.0,0.0504,6.0,0.22449944320643647,0.282842712474619
2021-09-22,0.08,0.0,0.0504,7.0,0.22449944320643647,0.282842712474619
2021-09-23,0.08,0.0,0.0504,8.0,0.22449944320643647,0.282842712474619
2021-09-24,0.08,0.0,0.0504,9.0,0.22449944320643647,0.282842712474619
2021-09-27,0.08,0.0,0.0504,12.0,0.22449944320643647,0.282842712474619
2021-09-28,0.08,0.0,0.0504,13.0,0.22449944320643647,0.282842712474619
2021-09-29,0.08,0.0,0.0504,14.0,0.22449944320643647,0.282842712474619
2021-09-30,0.08,0.0,0.0504,15.0,0.22449944320643647,0.282842712474619
2021-10-01,0.06,0.0,0.0504,16.0,0.22449944320643647,0.2449489742783178
2021-10-04,0.08,0.0,0.0504,19.0,0.22449944320643647,0.282842712474619
2021-10-05,0.08,0.0,0.0504,20.0,0.22449944320643647,0.282842712474619
2021-10-06,0.08,0.0,0.0504,21.0,0.22449944320643647,0.282842712474619
2021-10-07,0.08,0.0,0.0504,22.0,0.22449944320643647,0.282842712474619
2021-10-08,0.08,0.0,0.0504,23.0,0.22449944320643647,0.282842712474619
2021-10-11,0.08,3.0,0.0504,26.0,0.22449944320643647,0.282842712474619
2021-10-12,0.08,0.0,0.0504,27.0,0.22449944320643647,0.282842712474619
2021-10-13,0.08,0.0,0.0504,28.0,0.22449944320643647,0.282842712474619
2021-10-14,0.08,0.0,0.0504,29.0,0.22449944320643647,0.282842712474619
2021-10-15,0.08,0.0,0.0504,30.0,0.22449944320643647,0.282842712474619
2021-10-18,0.08,0.0,0.0504,33.0,0.22449944320643647,0.282842712474619
2021-10-19,0.08,0.0,0.0504,34.0,0.22449944320643647,0.282842712474619
2021-10-20,0.08,0.0,0.0504,35.0,0.22449944320643647,0.282842712474619
2021-10-21,0.08,0.0,0.0504,36.0,0.22449944320643647,0.282842712474619
2021-10-22,0.08,0.0,0.0504,37.0,0.22449944320643647,0.282842712474619
2021-10-25,0.08,0.0,0.0504,40.0,0.22449944320643647,0.282842712474619
2021-10-26,0.08,0.0,0.0504,41.0,0.22449944320643647,0.282842712474619
2021-10-27,0.08,0.0,0.0504,42.0,0.22449944320643647,0.282842712474619
2021-10-28,0.08,0.0,0.0504,43.0,0.22449944320643647,0.282842712474619
2021-10-29,0.08,0.0,0.0504,44.0,0.22449944320643647,0.282842712474619
2021-11-01,0.07,0.0,0.0504,47.0,0.22449944320643647,0.2645751311064591
2021-11-02,0.08,0.0,0.0504,48.0,0.22449944320643647,0.282842712474619
2021-11-03,0.08,0.0,0.0504,49.0,0.22449944320643647,0.282842712474619
2021-11-04,0.08,0.0,0.0504,50.0,0.22449944320643647,0.282842712474619
2021-11-05,0.08,0.0,0.0504,51.0,0.22449944320643647,0.282842712474619
2021-11-08,0.08,0.0,0.0504,54.0,0.22449944320643647,0.282842712474619
2021-11-09,0.08,0.0,0.0504,55.0,0.22449944320643647,0.282842712474619
2021-11-10,0.08,0.0,0.0504,56.0,0.22449944320643647,0.282842712474619
2021-11-11,0.08,1.0,0.0502,0.0,0.2240535650240808,0.282842712474619
2021-11-12,0.08,0.0,0.0502,1.0,0.2240535650240808,0.282842712474619
2021-11-15,0.08,0.0,0.0502,4.0,0.2240535650240808,0.282842712474619
2021-11-16,0.08,0.0,0.0502,5.0,0.2240535650240808,0.282842712474619
2021-11-17,0.08,0.0,0.0502,6.0,0.2240535650240808,0.282842712474619
2021-11-18,0.08,0.0,0.0502,7.0,0.2240535650240808,0.282842712474619
2021-11-19,0.08,0.0,0.0502,8.0,0.2240535650240808,0.282842712474619
2021-11-22,0.08,0.0,0.0502,11.0,0.2240535650240808,0.282842712474619
2021-11-23,0.08,0.0,0.0502,12.0,0.2240535650240808,0.282842712474619
2021-11-24,0.08,0.0,0.0502,13.0,0.2240535650240808,0.282842712474619
2021-11-25,0.08,1.0,0.0502,14.0,0.2240535650240808,0.282842712474619
2021-11-26,0.08,0.0,0.0502,15.0,0.2240535650240808,0.282842712474619
2021-11-29,0.08,0.0,0.0502,18.0,0.2240535650240808,0.282842712474619
2021-11-30,0.08,0.0,0.0502,19.0,0.2240535650240808,0.282842712474619
2021-12-01,0.07,0.0,0.0502,20.0,0.2240535650240808,0.2645751311064591
2021-12-02,0.08,0.0,0.0502,21.0,0.2240535650240808,0.282842712474619
2021-12-03,0.08,0.0,0.0502,22.0,0.2240535650240808,0.282842712474619
2021-12-06,0.08,0.0,0.0502,25.0,0.2240535650240808,0.282842712474619
2021-12-07,0.08,0.0,0.0502,26.0,0.2240535650240808,0.282842712474619
2021-12-08,0.08,0.0,0.0502,27.0,0.2240535650240808,0.282842712474619
2021-12-09,0.08,0.0,0.0502,28.0,0.2240535650240808,0.282842712474619
2021-12-10,0.08,0.0,0.0468,0.0,0.21633307652783937,0.282842712474619
2021-12-13,0.08,0.0,0.0468,3.0,0.21633307652783937,0.282842712474619
2021-12-14,0.08,0.0,0.0468,4.0,0.21633307652783937,0.282842712474619
2021-12-15,0.08,0.0,0.0468,5.0,0.21633307652783937,0.282842712474619
2021-12-16,0.08,0.0,0.0468,6.0,0.21633307652783937,0.282842712474619
2021-12-17,0.08,0.0,0.0468,7.0,0.21633307652783937,0.282842712474619
2021-12-20,0.08,0.0,0.0468,10.0,0.21633307652783937,0.282842712474619
2021-12-21,0.08,0.0,0.0468,11.0,0.21633307652783937,0.282842712474619
2021-12-22,0.08,0.0,0.0468,12.0,0.21633307652783937,0.282842712474619
2021-12-23,0.08,0.0,0.0468,13.0,0.21633307652783937,0.282842712474619
2021-12-24,0.08,1.0,0.0468,14.0,0.21633307652783937,0.282842712474619
2021-12-27,0.08,0.0,0.0468,17.0,0.21633307652783937,0.282842712474619
2021-12-28,0.08,0.0,0.0468,18.0,0.21633307652783937,0.282842712474619
2021-12-29,0.08,0.0,0.0468,19.0,0.21633307652783937,0.282842712474619
2021-12-30,0.08,0.0,0.0468,20.0,0.21633307652783937,0.282842712474619
2021-12-31,0.08,1.0,0.0468,21.0,0.21633307652783937,0.282842712474619
2022-01-03,0.07,0.0,0.0468,24.0,0.21633307652783937,0.2645751311064591
2022-01-04,0.07,0.0,0.0468,25.0,0.21633307652783937,0.2645751311064591
2022-01-05,0.08,0.0,0.0468,26.0,0.21633307652783937,0.282842712474619
2022-01-06,0.08,0.0,0.0468,27.0,0.21633307652783937,0.282842712474619
2022-01-07,0.08,0.0,0.0468,28.0,0.21633307652783937,0.282842712474619
2022-01-10,0.08,0.0,0.0468,31.0,0.21633307652783937,0.282842712474619
2022-01-11,0.08,0.0,0.0468,32.0,0.21633307652783937,0.282842712474619
2022-01-12,0.08,0.0,0.0468,33.0,0.21633307652783937,0.282842712474619
