date,realtime_start,value
2023-09-01,2024-01-09,5.1854
2023-08-01,2024-01-09,5.1609
2023-07-01,2024-01-09,4.9302
2023-06-01,2024-01-09,4.5872
2023-05-01,2024-01-09,4.3528
2023-04-01,2024-01-09,4.1774
2023-03-01,2024-01-09,4.0031
2023-02-01,2024-01-09,3.9021
2023-01-01,2024-01-09,3.4275
2022-12-01,2024-01-09,3.1779
2022-11-01,2024-01-09,2.8599
2022-10-01,2024-01-09,2.1857
2022-09-01,2024-01-09,1.8569
2022-08-01,2024-01-09,1.622
2022-07-01,2024-01-09,1.1908
2022-06-01,2024-01-09,1.0767
2021-04-01,2024-01-09,0.0486
2021-05-01,2024-01-09,0.0495
2021-06-01,2024-01-09,0.0498
2021-07-01,2024-01-09,0.0506
2021-08-01,2024-01-09,0.0504
2021-09-01,2024-01-09,0.05
2018-05-01,2024-01-09,0.4529
2021-10-01,2024-01-09,0.0502
2021-12-01,2024-01-09,0.1141
2022-01-01,2024-01-09,0.1958
2022-02-01,2024-01-09,0.4199
2022-03-01,2024-01-09,0.5623
2022-04-01,2024-01-09,0.6906
2022-05-01,2024-01-09,0.9158
2021-11-01,2024-01-09,0.0468
2018-04-01,2024-01-09,0.4617
2018-03-01,2024-01-09,0.4637
2018-02-01,2024-01-09,0.4634
2015-02-01,2024-01-09,0.4511
2015-01-01,2024-01-09,0.4355
2014-12-01,2024-01-09,0.428
2014-11-01,2024-01-09,0.4325
2014-10-01,2024-01-09,0.4308
2014-09-01,2024-01-09,0.4319
2014-08-01,2024-01-09,0.4228
2014-07-01,2024-01-09,0.4283
2014-06-01,2024-01-09,0.4251
2014-05-01,2024-01-09,0.4233
2014-04-01,2024-01-09,0.422
2014-03-01,2024-01-09,0.4159
2014-02-01,2024-01-09,0.4197
2014-01-01,2024-01-09,0.4287
2015-03-01,2024-01-09,0.4568
2015-04-01,2024-01-09,0.4574
2015-06-01,2024-01-09,0.4566
2018-01-01,2024-01-09,0.4631
2017-12-01,2024-01-09,0.4619
2017-11-01,2024-01-09,0.4493
2017-10-01,2024-01-09,0.211
2017-09-01,2024-01-09,0.2123
2017-08-01,2024-01-09,0.2132
2017-07-01,2024-01-09,0.2124
2017-06-01,2024-01-09,0.2121
2017-05-01,2024-01-09,0.2126
2017-04-01,2024-01-09,0.2114
2017-03-01,2024-01-09,0.2095
2017-02-01,2024-01-09,0.2106
2017-01-01,2024-01-09,0.2135
2016-12-01,2024-01-09,0.2125
2016-11-01,2024-01-09,0.2108
2016-10-01,2024-01-09,0.212
2016-09-01,2024-01-09,0.213
2015-07-01,2024-01-09,0.4549
2015-08-01,2024-01-09,0.459
2015-09-01,2024-01-09,0.4544
2015-10-01,2024-01-09,0.4622
2015-11-01,2024-01-09,0.4636
2015-12-01,2024-01-09,0.4575
2015-05-01,2024-01-09,0.462
2016-01-01,2024-01-09,0.4659
2016-03-01,2024-01-09,0.4646
2016-04-01,2024-01-09,0.4663
2016-05-01,2024-01-09,0.4633
2016-06-01,2024-01-09,0.4598
2016-07-01,2024-01-09,0.4577
2016-08-01,2024-01-09,0.2478
2016-02-01,2024-01-09,0.4657
2023-12-01,2024-01-11,5.19
2024-03-01,2024-04-10,5.1891
2024-02-01,2024-04-10,5.1883
2024-01-01,2024-04-10,5.1875
2023-12-01,2024-04-10,5.187
2017-10-01,2024-04-10,0.21100000000000002
2015-08-01,2024-04-10,0.45899999999999996
2014-04-01,2024-04-10,0.42200000000000004
2022-08-01,2024-04-10,1.6219999999999999
2019-07-01,2024-04-10,0.7090000000000001
2024-04-01,2024-05-15,5.1979
2024-05-01,2024-06-17,5.2
2024-06-01,2024-07-15,5.2
2024-08-01,2024-09-16,4.95
2024-07-01,2024-09-16,5.2
2024-09-01,2024-10-15,4.95
2024-10-01,2024-11-15,4.95
2024-11-01,2024-12-16,4.7476
2024-12-01,2025-01-15,4.7
2025-01-01,2025-02-17,4.7
2025-02-01,2025-03-17,4.4919
2025-01-01,2025-03-17,4.7002
2025-03-01,2025-04-15,4.4555
2025-04-01,2025-05-15,4.4577
2025-05-01,2025-06-16,4.2604
